slot,avg_reward_offload,avg_reward_offload_only,avg_reward_local
79,20.69649087498191,18.169626519088155,4.407150533529939
80,20.64768743175462,18.313782045850097,4.421991344570794
81,20.752985965437194,18.46055101639569,4.4395521355859495
82,20.83525805732532,18.186641857659158,4.447538273161711
83,20.684934088683367,18.31634579503728,4.458344021880225
84,20.807186881199556,18.303983528629676,4.471868681343536
85,20.76583427573601,18.438078647822778,4.488016289995946
86,20.612840489507025,18.574869229360225,4.527206433833706
87,20.708693686869513,18.694147383735892,4.533726077316058
88,20.80236840247376,18.67820383865706,4.439592826437467
89,20.89365492222173,18.423392559571024,4.446950383632533
90,20.85363892771703,18.17424375335357,4.4541444395565986
91,20.70808650719314,17.930570745074956,4.461180384361453
92,20.797695008854554,17.69219497610675,4.468063373844463
93,20.760001679907713,17.813268886686714,4.477486514091279
94,20.737610371185752,17.93710824597774,4.484049587524333
95,20.720953616331624,17.716717632862185,4.493106069937744
96,20.698258426753153,17.500918490853206,4.504578042300875
97,20.67859715860929,17.618971585380937,4.518390798738994
98,20.64149122246836,17.615626114272953,4.552472205486997
99,20.507318267292348,17.73745684705851,4.590915604017869
100,20.471435726288725,17.84960296518836,4.633590134578124
101,20.463354369197184,17.964499655236427,4.572861519384281
102,20.547060347606333,17.749161423322345,4.619778256057408
103,20.511837083716273,17.857927512999247,4.651220881338825
104,20.503600368104035,17.852477396689626,4.655482367256705
105,20.462319070949995,17.965330646816803,4.659662682014245
106,20.5518648217905,18.080533835620827,4.666122613474473
107,20.630371399718094,18.182136964821037,4.670125349954135
108,20.507482485461846,17.97674680773936,4.674053961684174
109,20.584955753118553,18.077437833907286,4.680204066776965
110,20.464714052272413,17.87673385359904,4.683969624504432
111,20.432771260512574,17.679646161224273,4.687667334344918
112,20.508611415865527,17.780292790678015,4.693531156509681
113,20.58333227643347,17.58754683677821,4.69707880483082
114,20.372074975763002,17.39818239084156,4.702757196163869
115,20.25891231214805,17.498650967095486,4.70616291982156
116,20.23012051779272,17.313317769103286,4.709509924105843
117,20.215693978467982,17.412794272444653,4.714936466778429
118,20.306698001193197,17.411763095701886,4.722389678219276
119,20.307525905889417,17.238134834393467,4.725515944930025
120,20.2037829288407,17.335750949607213,4.7306734405289275
121,20.168380569926832,17.431753575313298,4.73781180396917
122,20.155977603452378,17.43060080352219,4.746882325385803
123,20.227490538871816,17.256368276664286,4.74970779767371
124,20.297850039849003,17.350688441046373,4.7545038268602
125,20.273804962864595,17.183882933518003,4.757223119579705
126,20.260959039826332,17.277281232934868,4.75989924892271
127,20.252260690379224,17.36920869299084,4.764501738433542
128,20.286047617587375,17.368598589270583,4.767079189045767
129,20.288909408614167,17.458392930904477,4.771554663679509
130,20.31785923910962,17.457106180795968,4.791453232882307
131,20.232290608735067,17.550386810408547,4.814864801028574
132,20.235494609123766,17.646041975936082,4.841709527233231
133,20.22738012830361,17.73104969536546,4.871909971840826
134,20.195236228094355,17.568877682713477,4.877301803519614
135,20.102000172034714,17.653197615878884,4.878910052506863
136,20.167074205034776,17.493982927526833,4.895303130503455
137,20.14608983431772,17.577618589807972,4.902230957410717
138,20.209901275083848,17.66004214104156,4.9236522451109535
139,20.18890281567172,17.504214499739103,4.948362435146438
140,20.25149685741723,17.35061296759811,4.976291051038558
141,20.313203040414578,17.199190180593867,4.980674911788628
142,20.282265677455765,17.049900108899546,4.986757591401373
143,20.33273443146141,17.13313205680964,4.987510443327226
144,20.392590919159897,17.13413749680956,4.988252838976331
145,20.439892803627277,16.98838482441777,4.988984994685448
146,20.46463591711629,16.844628763976555,4.929128933078014
147,20.38738239836069,16.92699230068449,4.930253330926452
148,20.43543587877895,16.785593704058243,4.93305172339856
149,20.35438173637133,16.646093075171944,4.949329018275369
150,20.343959960907508,16.5084524546708,4.968722615887156
151,20.316311644391103,16.37263488874583,4.991170602934548
152,20.287389182916577,16.23860439605671,5.016612695415526
153,20.34402107492394,16.32171265922002,5.0449901853804135
154,20.39975385145069,16.406988347537055,5.064791647922089
155,20.454930076022254,16.48793789794032,5.014373637290333
156,20.43465626410415,16.567836172056364,5.0342069387182375
157,20.352960164715228,16.572443046226695,5.0345904322091934
158,20.407225408356545,16.650808398212874,5.047715610866372
159,20.387627232309008,16.728174814953945,5.0527263014697175
160,20.36439267148372,16.804574151485753,5.052986858440521
161,20.28982109377291,16.883143061476794,5.053244178678769
162,20.280569824161958,16.88875461922569,5.065930132267439
163,20.334058951009204,16.962762680825797,5.07070611560812
164,20.313235812081892,17.035881009967365,5.070850684517816
165,20.365592374796808,17.111143359361765,5.0831992783088795
166,20.417318135551305,17.182474234667076,5.087784917697371
167,20.468273527913535,17.25295084799268,5.087824621284802
168,20.518622308461925,17.1264451881832,5.099851669134555
169,20.568375245453534,17.196419291566986,5.104257371783453
170,20.490669324362884,17.268523699616846,5.1041994779305995
171,20.416796221062768,17.271502598547734,5.115919765545294
172,20.346689084080097,17.34668030820759,5.12015520537816
173,20.408003994923813,17.413775616599704,5.135983028815532
174,20.38507905338362,17.413070672922682,5.135744134493594
175,20.35956487308008,17.48329351856337,5.135507970392478
176,20.408242735506004,17.486469211166977,5.1352744899743294
177,20.390638061389012,17.551246609183227,5.135043647752997
178,20.36973614812426,17.618105160030755,5.134815399264488
179,20.302633536459002,17.6814233918744,5.145840836475543
180,20.35054595381225,17.74681586558645,5.149721806366225
181,20.398068178708552,17.632192573511386,5.164686706110297
182,20.376205519303177,17.694401233327493,5.164300600125067
183,20.36953345996296,17.575852592708216,5.174923922856861
184,20.365651314311222,17.458592524269587,5.174486376628281
185,20.4123308432443,17.520730773652147,5.1740535606292015
186,20.408996889338674,17.58220086981554,5.184453104174438
187,20.40695902050156,17.643002301848842,5.187982314402373
188,20.295751791669105,17.703168080349876,5.202186497091954
189,20.243173044940924,17.762697183946138,5.2188858736155055
190,20.136630028914922,17.8215886127677,5.238041046175652
191,20.193266356826587,17.87986337741312,5.259613442059775
192,20.22001516420261,17.876796981784917,5.273148625486773
193,20.16891855019142,17.934181809133406,5.289134221520745
194,20.110616746633955,17.82111901630282,5.307532337183232
195,20.09168570776368,17.878200809347643,5.309003532463309
196,20.08691317180592,17.934700135116497,5.3117352257507315
197,20.13178604230459,17.990625863669425,5.310632079512395
198,20.17633292421236,17.879562096681195,5.309540076165353
199,20.220305465598447,17.769614548456666,5.3084590477263225
200,20.26396428157067,17.8255268190146,5.3162085957879075
201,20.30718868146357,17.71942967066129,5.317592709325272
202,20.292263071242456,17.611907741598614,5.316487871243456
203,20.27072530980906,17.505445141886305,5.3253148702030595
204,20.306159487213247,17.56155604148511,5.283279012996182
205,20.247877580739246,17.560236818925663,5.28235772716107
206,20.22686392339066,17.615547167668954,5.281445385848629
207,20.162281820669172,17.672738575844676,5.280541859428096
208,20.204419257396935,17.56854271730696,5.2893294882772075
209,20.2461534650651,17.46534394832463,5.288396885064389
210,20.287490204088808,17.520042637428052,5.297063417326193
211,20.26679166046878,17.574232808151347,5.29610300026208
212,20.203544382164885,17.47246755905629,5.304651423185575
213,20.140890975018774,17.52624409004684,5.30366439968141
214,20.078823113733844,17.57964560672907,5.3120975971597355
215,20.059475397702197,17.634875946511926,5.311085121902241
216,20.093919018547385,17.687280079444943,5.310082021415648
217,20.039838141319258,17.739075418526042,5.318369056616697
218,20.03411005542696,17.79052080036786,5.3173417463423
219,20.020448436072492,17.691020705389015,5.325519951427692
220,19.960620800726904,17.742207287001076,5.324469476270286
221,19.944595657587552,17.646088701992024,5.332541418278308
222,19.94103990534636,17.69690302612739,5.290502943421199
223,19.939758195726167,17.601849649328614,5.289623627158315
224,19.926822736891665,17.65252964491216,5.297743024626551
225,19.822703524727704,17.558518402045884,5.30017267970287
226,19.811506674692616,17.46533911708108,5.311492130943314
227,19.851662454363765,17.464571611793488,5.324914494507631
228,19.836607198717125,17.51484484446125,5.323903533640484
229,19.81950002390583,17.513867860060977,5.32290140212589
230,19.80580696945521,17.5634896026696,5.322994941320117
231,19.84529208499888,17.56231049363985,5.32200541956894
232,19.74466582601182,17.472602258753472,5.329705261122709
233,19.728251369678134,17.525089239016516,5.328695433464664
234,19.767669392286532,17.52729917994721,5.327694236812243
235,19.753420008348847,17.582298199011447,5.335271574783439
236,19.750885256872973,17.58736437366309,5.337428963944519
237,19.789602486422215,17.64470405419634,5.348065840299365
238,19.691747013790188,17.695365250019226,5.347000082217428
239,19.681707132631228,17.742473214077904,5.346989267717766
240,19.62827655566211,17.789179861769426,5.348020210005601
241,19.61858335591579,17.787113204321415,5.312343777598939
242,19.651148290396563,17.833249383890514,5.311443247182408
243,19.635794171918647,17.74545823416257,5.311578935123213
244,19.58650144441096,17.791283686727656,5.312738101031718
245,19.624728249372726,17.78924218358509,5.314908212524642
246,19.615246489890716,17.70371680885507,5.325247482636506
247,19.56663564847433,17.74915467060077,5.3243129398598334
248,19.584723357041057,17.794336178622718,5.324393998234585
249,19.623246028940663,17.841154381359345,5.330554539045061
250,19.660561319465074,17.885598038474082,5.331609982556074
251,19.647646988180075,17.929587164456432,5.333653032094888
252,19.645692907512867,17.975311297375427,5.343671744904206
253,19.682477001396386,18.018697690113246,5.342686542026317
254,19.718872244146965,18.061742457711397,5.341709096651403
255,19.705931820314742,18.10444961928917,5.340739317514725
256,19.741951104844933,18.146823131167118,5.339777114777551
257,19.72708007914617,18.190812413380645,5.3388223999994215
258,19.757204952871433,18.23253084844523,5.337875086111045
259,19.742389866181824,18.27382172802669,5.336935087387829
260,19.69572055385052,18.314899985457522,5.336963857885562
261,19.69365368835701,18.355655420992335,5.33603455351358
262,19.728991150081004,18.396099746332226,5.336066541541384
263,19.763964068369834,18.436244495053558,5.335147715972019
264,19.751293992985595,18.47608511689064,5.335182820899391
265,19.749044652106566,18.51750392271386,5.334274264657499
266,19.74211297544467,18.556731609696303,5.334312389289607
267,19.776512809469384,18.595571074304345,5.335286557931962
268,19.763985016027075,18.634214722012327,5.33718629247997
269,19.761725847417473,18.55193139590819,5.346558717638198
270,19.795670820797568,18.590450422812395,5.345624853561013
271,19.709708935849974,18.63053794398299,5.344697881469638
272,19.743688199541864,18.668484748086154,5.343777725349522
